Method,DatasetType,Accession,Source
CellNet,Other,GEO_BULK_MICROARRAY_COMPENDIUM,DatasetsUsed_Comprehensive
D'Alessio et al.,GEO,GSE64264,DatasetsUsed_Comprehensive
Mogrify (Rackham et al),Other,FANTOM5,DatasetsUsed_Comprehensive
Mogrify (Rackham et al),GEO,GSE14897,DatasetsUsed_Comprehensive
Mogrify (Rackham et al),GEO,GSE65136,DatasetsUsed_Comprehensive
OncoTreat,Other,ARACNE_VIPER_REGULONS,DatasetsUsed_Comprehensive
"TransSynW (Messias Ribeiro,.., del Sol)",Other,PANGLAODB,DatasetsUsed_Comprehensive
ANANSE (Xu et al.),Zenodo,10.5281/ZENODO.3921913,DatasetsUsed_Comprehensive
ANANSE (Xu et al.),Zenodo,10.5281/ZENODO.4066423,DatasetsUsed_Comprehensive
ANANSE (Xu et al.),Zenodo,10.5281/ZENODO.4114608,DatasetsUsed_Comprehensive
ANANSE (Xu et al.),Zenodo,10.5281/ZENODO.4809062,DatasetsUsed_Comprehensive
ANANSE (Xu et al.),Zenodo,10.5281/ZENODO.4814015,DatasetsUsed_Comprehensive
ANANSE (Xu et al.),Zenodo,10.5281/ZENODO.4814016,DatasetsUsed_Comprehensive
ANANSE (Xu et al.),Other,ENCODE,DatasetsUsed_Comprehensive
ANANSE (Xu et al.),GEO,GSE96760,DatasetsUsed_Comprehensive
ANANSE (Xu et al.),GEO,GSE98894,DatasetsUsed_Comprehensive
DECCODE,GEO,GSE70138,DatasetsUsed_Comprehensive
DECCODE,Other,LINCS_L1000,DatasetsUsed_Comprehensive
IRENE,ArrayExpress,E-MTAB-6819,DatasetsUsed_Comprehensive
IRENE,Other,FANTOM5,DatasetsUsed_Comprehensive
IRENE,GEO,GSE118389,DatasetsUsed_Comprehensive
IRENE,GEO,GSE132044,DatasetsUsed_Comprehensive
IRENE,GEO,GSE151091,DatasetsUsed_Comprehensive
IRENE,GEO,GSE165961,DatasetsUsed_Comprehensive
Taiji-reprogram,Other,ENCODE,DatasetsUsed_Comprehensive
Taiji-reprogram,Other,ROADMAP_EPIGENOMICS,DatasetsUsed_Comprehensive
cSTAR (Rukhlenko…Kholodenko),GEO,GSE147405,DatasetsUsed_Comprehensive
PBNs (Tercan…Shmulevich),Zenodo,10.5281/ZENODO.6954489,DatasetsUsed_Comprehensive
PBNs (Tercan…Shmulevich),GEO,GSE116256,DatasetsUsed_Comprehensive
NETISCE — NETwork drIven analySis of CEllular reprogramming,GEO,GSE88928,DatasetsUsed_Comprehensive
scREMOTE (single cell REprogramming MOdel Through cis-regulatory Elements),GEO,GSE140203,DatasetsUsed_Comprehensive
TRANSDIRE,GEO,GSE7307,DatasetsUsed_Comprehensive
CellOracle (Kamimoto et al.),ArrayExpress,E-MTAB-7324,DatasetsUsed_Comprehensive
CellOracle (Kamimoto et al.),ArrayExpress,E-MTAB-7325,DatasetsUsed_Comprehensive
CellOracle (Kamimoto et al.),GEO,GSE112824,DatasetsUsed_Comprehensive
CellOracle (Kamimoto et al.),GEO,GSE145298,DatasetsUsed_Comprehensive
CellOracle (Kamimoto et al.),GEO,GSE72859,DatasetsUsed_Comprehensive
CellOracle (Kamimoto et al.),GEO,GSE96769,DatasetsUsed_Comprehensive
CellOracle (Kamimoto et al.),BioProject,PRJNA606682,DatasetsUsed_Comprehensive
CellOracle (Kamimoto et al.),SRA,SRR8119827,DatasetsUsed_Comprehensive
CellOracle (Kamimoto et al.),SRA,SRR8119833,DatasetsUsed_Comprehensive
CellOracle (Kamimoto et al.),SRA,SRR8119835,DatasetsUsed_Comprehensive
CellOracle (Kamimoto et al.),SRA,SRR8119839,DatasetsUsed_Comprehensive
CellOracle (Kamimoto et al.),SRA,SRR8119864,DatasetsUsed_Comprehensive
scANANSE,Zenodo,10.5281/ZENODO.7575107,DatasetsUsed_Comprehensive
scANANSE,Other,ENCODE,DatasetsUsed_Comprehensive
scANANSE,GEO,GSE164378,DatasetsUsed_Comprehensive
PC3T,GEO,GSE70138,DatasetsUsed_Comprehensive
PC3T,Other,LINCS_L1000,DatasetsUsed_Comprehensive
SiPER,GEO,GSE162908,DatasetsUsed_Comprehensive
SiPER,GEO,GSE162909,DatasetsUsed_Comprehensive
Transfer Learning (Wytock et al.),GEO,GPL570,DatasetsUsed_Comprehensive
Transfer Learning (Wytock et al.),GEO,GSE36139,DatasetsUsed_Comprehensive
Transfer Learning (Wytock et al.),GEO,GSE7307,DatasetsUsed_Comprehensive
CAESAR,GEO,GSE17316,DatasetsUsed_Comprehensive
CAESAR,GEO,GSE62155,DatasetsUsed_Comprehensive
DIRECTEUR,GEO,GSE22292,DatasetsUsed_Comprehensive
DIRECTEUR,GEO,GSE27174,DatasetsUsed_Comprehensive
CellCartographer,GEO,GSE214951,DatasetsUsed_Comprehensive
BoNesis + CABEAN + Ensemble MaBoSS,Zenodo,10.5281/ZENODO.16990754,DatasetsUsed_Comprehensive
BoNesis + CABEAN + Ensemble MaBoSS,BioProject,PRJEB82479,DatasetsUsed_Comprehensive
