Method Name,Paper Title,PubMedID,Year,Type of Reprogramming,Code Repo,Datasets Used
Crespo & Del Sol,A general strategy for cellular reprogramming: the importance of transcription factor cross-repression,23873656,2013,"Transdifferentiation  demonstrated on Th2→Th1, myeloid↔erythroid, and fibroblast→hepatocyte examples.",Not Available,
Cornelius,Realistic control of network dynamics,23803966,2013,"Phenotype reprogramming / network rescue. Drives a system from an undesirable state (e.g., disease) into the basin of attraction of a desired state (e.g., normal) under realistic constraints on interventions",Not Available,
FVS,Dynamics and control at feedback vertex sets. II: a faithful monitor to determine the diversity of molecular activities in regulatory networks,23774067,2013,"In case studies showed directed Differentiation and Phenotype Reprogramming. In general, it does attractor steering",Not Available,
"Differential Stability Analysis (DEPCs method), Crespo et al.",Detecting cellular reprogramming determinants by differential stability analysis of gene regulatory networks,24350678,2013,"Directed differentiation (Th2↔Th1), Transdifferentiation (fibroblast→hepatocyte; fibroblast→cardiomyocyte), indirect reprogramming (fibroblast→iPSC), Phenotype Reprogramming (EMT ->MET)",Not Available,
CellNet,"CellNet: Network Biology Applied
to Stem Cell Engineering",25126793,2014,"Indirect Reprogramming to Pluripotency, Directed Differentiation, Transdifferentiation","https://github.com/CahanLab/CellNet, currently updated to https://github.com/CahanLab/PACNet",GEO_BULK_MICROARRAY_COMPENDIUM
Hopfield Neural Networks (Lang et al.),Epigenetic Landscapes Explain Partially Reprogrammed Cells and Identify Key Reprogramming Genes,25122086,2014,"Indirect Reprogramming to Pluripotency, directed differentiation, and transdifferentation conceptually (e.g., ESC, heart, liver, thyroid, neural lineages) via a common landscape model",Not Available,
"StableMotifs (Zañudo, et al.)",Cell Fate Reprogramming by Control of Intracellular Network Dynamics,25849586,2015,Phenotype reprogramming / directed differentiation. Case studies: drive T LGL leukemia network to apoptosis (disease rescue) and steer helper T cell network to Th1/Th2/Th17/Treg fates (directed differentiation).,"The simulations of the logical model were done with the BooleanDynamicModeling Java library, while the attractor-finding method and the analysis of the stable motif succession diagrams were performed using the StableMotifs Java library, both of which are freely available on GitHub (on http://github.com/jgtz/BooleanDynamicModeling/ and http://github.com/jgtz/StableMotifs/, respectively). Simulations in http://github.com/jgtz/BooleanDynamicModeling/",
D'Alessio et al.,A Systematic Approach to Identify Candidate Transcription Factors that Control Cell Identity,26603904,2015,Transdifferentiation,Not Available,GSE64264
Mogrify (Rackham et al),A predictive computational framework for direct reprogramming between human cell types,26780608,2016,Transdifferentiation,Web tool [Offline][!],FANTOM5;GSE14897;GSE65136
Murrugarra et al.,"Identification of control targets in
Boolean molecular network models via
computational algebra",27662842,2016,"Phenotype reprogramming (steers dynamics by removing undesirable attractors or creating desired ones; e.g., forcing apoptosis in p53/T LGL models).",Code (Macaulay2 & MATLAB) provided by authors: http://www.ms.uky.edu/~dmu228/ControlAlg.,
Toggle Switches (Okawa et al.),A Generalized Gene-Regulatory Network Model of Stem Cell Differentiation for Predicting Lineage Specifiers,27546532,2016,Directed Differentiation,Not Available,
Del Vecchio et al.,A Blueprint for a Synthetic Genetic Feedback Controller to Reprogram Cell Fate,28065574,2017,"Directed differentiation, Indirect reprogramming to pluripotency (case study), and, in general, phenotype reprogramming via steering TF set points in multistable GRNs.",Not Available,
Zanudo et al.,Structure-based control of complex networks with nonlinear dynamics,28655847,2017,Directed diferentiation and Phenotype reprogramming,https://github.com/jgtz/FVS_python3,
Data Guided Control (DGC),Algorithm for cellular reprogramming,29078370,2017,Indirect Reprogramming to Pluripotency and Transdifferentiation,Not Available,
Phenotype Control Kernel (PCK),The phenotype control kernel of a biomolecular regulatory network,29622038,2018,Phenotype Reprogramming,Not Available,
"Logical Domain of Influence (LDOI), Yang et al.",Target Control in Logical Models Using the Domain of Influence of Nodes,29867523,2018,Phenotype reprogramming,GitHub (code & models): https://github.com/yanggangthu/BooleanDOI,
